"stock_name","monthly_return","date"
"COST","0.0526710797627397","2007-01-31"
"COST","-0.00480771011395997","2007-02-28"
"COST","-0.0366791740325492","2007-03-31"
"COST","-0.00501485884101049","2007-04-30"
"COST","0.0541347955945493","2007-05-31"
"COST","0.0363024431325936","2007-06-30"
"COST","0.0218728468899521","2007-07-31"
"COST","0.0326087129198782","2007-08-31"
"COST","-0.00615386234817816","2007-09-30"
"COST","0.0959752826458413","2007-10-31"
"COST","0.00208147481173127","2007-11-30"
"COST","0.0350148357562363","2007-12-31"
"COST","-0.026089448793307","2008-01-31"
"COST","-0.0886076512037784","2008-02-29"
"COST","0.0492571559837582","2008-03-31"
"COST","0.0966599800421737","2008-04-30"
"COST","0.000982456140350862","2008-05-31"
"COST","-0.0165451626472236","2008-06-30"
"COST","-0.106358698408308","2008-07-31"
"COST","0.0698787172941926","2008-08-31"
"COST","-0.0317625717793786","2008-09-30"
"COST","-0.121977545048514","2008-10-31"
"COST","-0.0971758848333936","2008-11-30"
"COST","0.0200116374584876","2008-12-31"
"COST","-0.142285733333333","2009-01-31"
"COST","-0.0597379315953348","2009-02-28"
"COST","0.0940009447331127","2009-03-31"
"COST","0.0492227547495683","2009-04-30"
"COST","-0.00164604945045466","2009-05-31"
"COST","-0.0564715787304205","2009-06-30"
"COST","0.0812582149685064","2009-07-31"
"COST","0.0298989898989899","2009-08-31"
"COST","0.10592391133778","2009-09-30"
"COST","0.00833623610613277","2009-10-31"
"COST","0.0538258945936989","2009-11-30"
"COST","-0.0123518945084292","2009-12-31"
"COST","-0.0294067611765003","2010-01-31"
"COST","0.0616402751175344","2010-02-28"
"COST","-0.0206659337269816","2010-03-31"
"COST","-0.010550946416864","2010-04-30"
"COST","-0.0140487808378883","2010-05-31"
"COST","-0.0587124120171674","2010-06-30"
"COST","0.0342877426851089","2010-07-31"
"COST","-0.00370303304008179","2010-08-31"
"COST","0.14141589380531","2010-09-30"
"COST","-0.026670771489247","2010-10-31"
"COST","0.0771069141309542","2010-11-30"
"COST","0.0680372420050697","2010-12-31"
"COST","-0.00512398566852212","2011-01-31"
"COST","0.041063546273026","2011-02-28"
"COST","-0.0196550472034358","2011-03-31"
"COST","0.103246031096563","2011-04-30"
"COST","0.0196563730950226","2011-05-31"
"COST","-0.0150340076975991","2011-06-30"
"COST","-0.0368045060759357","2011-07-31"
"COST","0.00370608306709275","2011-08-31"
"COST","0.045709141256568","2011-09-30"
"COST","0.0136369541082535","2011-10-31"
"COST","0.0246246606606606","2011-11-30"
"COST","-0.0232122266162172","2011-12-31"
"COST","-0.0126020523283724","2012-01-31"
"COST","0.0460678392877538","2012-02-29"
"COST","0.0550779120399236","2012-03-31"
"COST","-0.0288546576369606","2012-04-30"
"COST","-0.0202993989566795","2012-05-31"
"COST","0.0996643257282592","2012-06-30"
"COST","0.0124210526315791","2012-07-31"
"COST","0.017571251819505","2012-08-31"
"COST","0.0233983951139758","2012-09-30"
"COST","-0.0172724034635621","2012-10-31"
"COST","0.0557756578278981","2012-11-30"
"COST","-0.0499422161266786","2012-12-31"
"COST","0.0365642954553542","2013-01-31"
"COST","-0.0102598694649157","2013-02-28"
"COST","0.0475861383395582","2013-03-31"
"COST","0.0218640936588061","2013-04-30"
"COST","0.0110670201973624","2013-05-31"
"COST","0.00857432295651694","2013-06-30"
"COST","0.0619516867142988","2013-07-31"
"COST","-0.0472661820348524","2013-08-31"
"COST","0.0294984795879554","2013-09-30"
"COST","0.0245723890695908","2013-10-31"
"COST","0.0629661016949152","2013-11-30"
"COST","-0.0511042254644025","2013-12-31"
