"stock_name","monthly_return","date"
"OCFT","-0.0456707897240723","2019-12-31"
"OCFT","0.268195413758724","2020-01-31"
"OCFT","-0.147012578616352","2020-02-29"
"OCFT","-0.064516129032258","2020-03-31"
"OCFT","-0.00985221674876846","2020-04-30"
"OCFT","0.250746268656716","2020-05-31"
"OCFT","0.45266507557677","2020-06-30"
"OCFT","0.309967141292443","2020-07-31"
"OCFT","-0.0982441471571907","2020-08-31"
"OCFT","-0.012517431617988","2020-09-30"
"OCFT","-0.0544600964535257","2020-10-31"
"OCFT","0.00397219483476641","2020-11-30"
"OCFT","-0.0252225531761896","2020-12-31"
"OCFT","0.0410959432316562","2021-01-31"
"OCFT","-0.111598440545809","2021-02-28"
"OCFT","-0.189248491497532","2021-03-31"
"OCFT","-0.00270635994587276","2021-04-30"
"OCFT","-0.0189959294436906","2021-05-31"
"OCFT","-0.168741355463347","2021-06-30"
"OCFT","-0.34026622296173","2021-07-31"
"OCFT","-0.407313997477932","2021-08-31"
"OCFT","-0.127659574468085","2021-09-30"
"OCFT","-0.226829268292683","2021-10-31"
"OCFT","-0.22397476340694","2021-11-30"
